Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Jefferson,Age Group,1,<20,582,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Age Group,2,20-35,"4,556",82.93,8,175.59,3,65.85,3,65.85,2,43.9,0,0,0,0,5,109.75,1,21.95
2016-2018,Jefferson,Age Group,3,>35,356,6.48,1,280.9,1,280.9,0,0,0,0,0,0,0,0,1,280.9,1,280.9
2016-2018,Jefferson,Education,1,Less than high school,471,8.57,1,212.31,0,0,0,0,0,0,0,0,0,0,1,212.31,0,0
2016-2018,Jefferson,Education,2,High school graduate or GED,"1,505",27.39,5,332.23,3,199.34,2,132.89,2,132.89,0,0,0,0,3,199.34,1,66.45
2016-2018,Jefferson,Education,3,Some College,"1,563",28.45,2,127.96,0,0,1,63.98,0,0,0,0,0,0,1,63.98,0,0
2016-2018,Jefferson,Education,4,AA Degree,655,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Education,5,BA degree or higher,"1,260",22.93,1,79.37,1,79.37,0,0,0,0,0,0,0,0,1,79.37,1,79.37
2016-2018,Jefferson,Education,6,Unknown,10,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Race/Ethnicity,1,"White, Non-Hispanic","4,318",78.59,7,162.11,4,92.64,3,69.48,2,46.32,0,0,0,0,4,92.64,2,46.32
2016-2018,Jefferson,Race/Ethnicity,2,"Black, Non-Hispanic",475,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Race/Ethnicity,3,Hispanic,479,8.72,1,208.77,0,0,0,0,0,0,0,0,0,0,1,208.77,0,0
2016-2018,Jefferson,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",14,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",151,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Race/Ethnicity,6,"Other, Non-Hispanic",56,1.02,1,1785.71,0,0,0,0,0,0,0,0,0,0,1,1785.71,0,0
2016-2018,Jefferson,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Jefferson,Total,1,Total,"5,494",100,9,163.82,4,72.81,3,54.61,2,36.4,0,0,0,0,6,109.21,2,36.4
2016-2018,Kings,Age Group,1,<20,"5,398",5.02,22,407.56,4,74.1,6,111.15,2,37.05,9,166.73,1,18.53,7,129.68,1,18.53
2016-2018,Kings,Age Group,2,20-35,"80,476",74.91,185,229.88,29,36.04,44,54.67,12,14.91,67,83.25,11,13.67,75,93.2,7,8.7
2016-2018,Kings,Age Group,3,>35,"21,550",20.06,47,218.1,15,69.61,6,27.84,5,23.2,26,120.65,6,27.84,15,69.61,4,18.56
2016-2018,Kings,Education,1,Less than high school,"17,052",15.87,53,310.81,7,41.05,15,87.97,4,23.46,19,111.42,2,11.73,19,111.42,1,5.86
2016-2018,Kings,Education,2,High school graduate or GED,"29,650",27.6,70,236.09,13,43.84,19,64.08,7,23.61,19,64.08,3,10.12,32,107.93,3,10.12
2016-2018,Kings,Education,3,Some College,"14,839",13.81,32,215.65,6,40.43,8,53.91,2,13.48,15,101.08,2,13.48,9,60.65,2,13.48
2016-2018,Kings,Education,4,AA Degree,"6,624",6.17,21,317.03,2,30.19,0,0,0,0,9,135.87,1,15.1,12,181.16,1,15.1
2016-2018,Kings,Education,5,BA degree or higher,"35,730",33.26,68,190.32,17,47.58,13,36.38,6,16.79,31,86.76,7,19.59,25,69.97,5,13.99
2016-2018,Kings,Education,6,Unknown,449,0.42,2,445.43,0,0,0,0,0,0,2,445.43,0,0,0,0,0,0
2016-2018,Kings,Race/Ethnicity,1,"White, Non-Hispanic","47,582",44.29,69,145.01,16,33.63,20,42.03,10,21.02,24,50.44,4,8.41,26,54.64,3,6.3
2016-2018,Kings,Race/Ethnicity,2,"Black, Non-Hispanic","25,009",23.28,71,283.9,9,35.99,10,39.99,3,12,39,155.94,4,15.99,22,87.97,2,8
2016-2018,Kings,Race/Ethnicity,3,Hispanic,"17,074",15.89,72,421.69,14,82,20,117.14,6,35.14,26,152.28,6,35.14,26,152.28,2,11.71
2016-2018,Kings,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",78,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Kings,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","16,074",14.96,36,223.96,8,49.77,4,24.88,0,0,10,62.21,3,18.66,22,136.87,5,31.11
2016-2018,Kings,Race/Ethnicity,6,"Other, Non-Hispanic","1,118",1.04,5,447.23,1,89.45,1,89.45,0,0,3,268.34,1,89.45,1,89.45,0,0
2016-2018,Kings,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",489,0.46,1,204.5,0,0,1,204.5,0,0,0,0,0,0,0,0,0,0
2016-2018,Kings,Total,1,Total,"107,424",100,254,236.45,48,44.68,56,52.13,19,17.69,102,94.95,18,16.76,97,90.3,12,11.17
2016-2018,Lewis,Age Group,1,<20,67,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Age Group,2,20-35,701,83.75,1,142.65,0,0,0,0,0,0,0,0,0,0,1,142.65,0,0
2016-2018,Lewis,Age Group,3,>35,69,8.24,1,1449.28,0,0,0,0,0,0,0,0,0,0,1,1449.28,0,0
2016-2018,Lewis,Education,1,Less than high school,69,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Education,2,High school graduate or GED,266,31.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Education,3,Some College,168,20.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Education,4,AA Degree,133,15.89,1,751.88,0,0,0,0,0,0,0,0,0,0,1,751.88,0,0
2016-2018,Lewis,Education,5,BA degree or higher,183,21.86,1,546.45,0,0,0,0,0,0,0,0,0,0,1,546.45,0,0
2016-2018,Lewis,Education,6,Unknown,3,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Race/Ethnicity,1,"White, Non-Hispanic",815,97.37,2,245.4,0,0,0,0,0,0,0,0,0,0,2,245.4,0,0
2016-2018,Lewis,Race/Ethnicity,2,"Black, Non-Hispanic",8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Race/Ethnicity,3,Hispanic,11,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",3,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Lewis,Total,1,Total,837,100,2,238.95,0,0,0,0,0,0,0,0,0,0,2,238.95,0,0
2016-2018,Livingston,Age Group,1,<20,77,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Age Group,2,20-35,"1,225",84.48,1,81.63,0,0,1,81.63,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Age Group,3,>35,148,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,1,Less than high school,95,6.55,1,1052.63,0,0,1,1052.63,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,2,High school graduate or GED,405,27.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,3,Some College,281,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,4,AA Degree,189,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,5,BA degree or higher,450,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Education,6,Unknown,6,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,1,"White, Non-Hispanic","1,338",92.28,1,74.74,0,0,1,74.74,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,2,"Black, Non-Hispanic",26,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,3,Hispanic,57,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",15,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",10,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Livingston,Total,1,Total,"1,450",100,1,68.97,0,0,1,68.97,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Age Group,1,<20,130,7.33,1,769.23,0,0,0,0,0,0,0,0,0,0,1,769.23,0,0
2016-2018,Madison,Age Group,2,20-35,"1,474",83.09,3,203.53,0,0,1,67.84,0,0,0,0,0,0,2,135.69,0,0
2016-2018,Madison,Age Group,3,>35,170,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Education,1,Less than high school,133,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Education,2,High school graduate or GED,477,26.89,1,209.64,0,0,0,0,0,0,0,0,0,0,1,209.64,0,0
2016-2018,Madison,Education,3,Some College,374,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Education,4,AA Degree,214,12.06,1,467.29,0,0,1,467.29,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Education,5,BA degree or higher,550,31,2,363.64,0,0,0,0,0,0,0,0,0,0,2,363.64,0,0
2016-2018,Madison,Education,6,Unknown,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,1,"White, Non-Hispanic","1,684",94.93,4,237.53,0,0,1,59.38,0,0,0,0,0,0,3,178.15,0,0
2016-2018,Madison,Race/Ethnicity,2,"Black, Non-Hispanic",26,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,3,Hispanic,18,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",16,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",16,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,6,"Other, Non-Hispanic",6,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",8,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Madison,Total,1,Total,"1,774",100,4,225.48,0,0,1,56.37,0,0,0,0,0,0,3,169.11,0,0
2016-2018,Monroe,Age Group,1,<20,"1,532",6.83,7,456.92,1,65.27,2,130.55,0,0,2,130.55,0,0,3,195.82,1,65.27
2016-2018,Monroe,Age Group,2,20-35,"17,963",80.06,58,322.89,16,89.07,17,94.64,5,27.83,19,105.77,5,27.83,24,133.61,6,33.4
2016-2018,Monroe,Age Group,3,>35,"2,941",13.11,7,238.01,2,68,2,68,0,0,4,136.01,1,34,1,34,1,34
2016-2018,Monroe,Education,1,Less than high school,"2,599",11.58,11,423.24,4,153.91,2,76.95,0,0,3,115.43,1,38.48,6,230.86,3,115.43
2016-2018,Monroe,Education,2,High school graduate or GED,"5,071",22.6,29,571.88,7,138.04,10,197.2,3,59.16,10,197.2,2,39.44,9,177.48,2,39.44
2016-2018,Monroe,Education,3,Some College,"3,281",14.62,8,243.83,3,91.44,3,91.44,1,30.48,3,91.44,1,30.48,2,60.96,1,30.48
2016-2018,Monroe,Education,4,AA Degree,"2,003",8.93,3,149.78,1,49.93,1,49.93,0,0,1,49.93,1,49.93,2,99.85,0,0
2016-2018,Monroe,Education,5,BA degree or higher,"8,570",38.2,19,221.7,4,46.67,4,46.67,1,11.67,7,81.68,1,11.67,9,105.02,2,23.34
2016-2018,Monroe,Education,6,Unknown,257,1.15,1,389.11,0,0,1,389.11,0,0,0,0,0,0,0,0,0,0
2016-2018,Monroe,Race/Ethnicity,1,"White, Non-Hispanic","13,110",58.43,32,244.09,4,30.51,12,91.53,2,15.26,8,61.02,1,7.63,12,91.53,1,7.63
2016-2018,Monroe,Race/Ethnicity,2,"Black, Non-Hispanic","5,075",22.62,21,413.79,6,118.23,5,98.52,2,39.41,10,197.04,3,59.11,8,157.64,1,19.7
2016-2018,Monroe,Race/Ethnicity,3,Hispanic,"2,435",10.85,14,574.95,8,328.54,3,123.2,1,41.07,5,205.34,2,82.14,6,246.41,5,205.34
2016-2018,Monroe,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",31,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Monroe,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","1,228",5.47,4,325.73,1,81.43,0,0,0,0,2,162.87,0,0,2,162.87,1,81.43
2016-2018,Monroe,Race/Ethnicity,6,"Other, Non-Hispanic",242,1.08,1,413.22,0,0,1,413.22,0,0,0,0,0,0,0,0,0,0
2016-2018,Monroe,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",315,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Monroe,Total,1,Total,"22,436",100,72,320.91,19,84.69,21,93.6,5,22.29,25,111.43,6,26.74,28,124.8,8,35.66
2016-2018,Montgomery,Age Group,1,<20,186,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Age Group,2,20-35,"1,317",78.53,6,455.58,1,75.93,2,151.86,0,0,3,227.79,0,0,1,75.93,1,75.93
2016-2018,Montgomery,Age Group,3,>35,174,10.38,1,574.71,0,0,0,0,0,0,1,574.71,0,0,0,0,0,0
2016-2018,Montgomery,Education,1,Less than high school,296,17.65,1,337.84,0,0,0,0,0,0,1,337.84,0,0,0,0,0,0
2016-2018,Montgomery,Education,2,High school graduate or GED,445,26.54,3,674.16,1,224.72,2,449.44,0,0,0,0,0,0,1,224.72,1,224.72
2016-2018,Montgomery,Education,3,Some College,356,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Education,4,AA Degree,202,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Education,5,BA degree or higher,334,19.92,1,299.4,0,0,0,0,0,0,1,299.4,0,0,0,0,0,0
2016-2018,Montgomery,Education,6,Unknown,10,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Race/Ethnicity,1,"White, Non-Hispanic","1,292",77.04,3,232.2,0,0,1,77.4,0,0,2,154.8,0,0,0,0,0,0
2016-2018,Montgomery,Race/Ethnicity,2,"Black, Non-Hispanic",50,2.98,2,4000,0,0,1,2000,0,0,1,2000,0,0,0,0,0,0
2016-2018,Montgomery,Race/Ethnicity,3,Hispanic,308,18.37,2,649.35,1,324.68,0,0,0,0,1,324.68,0,0,1,324.68,1,324.68
2016-2018,Montgomery,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",12,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Race/Ethnicity,6,"Other, Non-Hispanic",15,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Montgomery,Total,1,Total,"1,677",100,7,417.41,1,59.63,2,119.26,0,0,4,238.52,0,0,1,59.63,1,59.63
2016-2018,Nassau,Age Group,1,<20,"1,524",3.37,6,393.7,4,262.47,3,196.85,2,131.23,1,65.62,1,65.62,2,131.23,1,65.62
2016-2018,Nassau,Age Group,2,20-35,"33,547",74.08,103,307.03,22,65.58,24,71.54,5,14.9,39,116.25,11,32.79,40,119.24,6,17.89
2016-2018,Nassau,Age Group,3,>35,"10,211",22.55,24,235.04,2,19.59,2,19.59,1,9.79,11,107.73,1,9.79,12,117.52,0,0
2016-2018,Putnam,Education,6,Unknown,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Nassau,Education,1,Less than high school,"4,996",11.03,21,420.34,5,100.08,12,240.19,4,80.06,4,80.06,1,20.02,5,100.08,0,0
2016-2018,Nassau,Education,2,High school graduate or GED,"6,852",15.13,28,408.64,8,116.75,7,102.16,3,43.78,6,87.57,2,29.19,15,218.91,3,43.78
2016-2018,Nassau,Education,3,Some College,"5,555",12.27,20,360.04,1,18,6,108.01,0,0,6,108.01,0,0,8,144.01,1,18
2016-2018,Nassau,Education,4,AA Degree,"2,917",6.44,10,342.82,5,171.41,2,68.56,1,34.28,6,205.69,3,102.85,2,68.56,1,34.28
2016-2018,Nassau,Education,5,BA degree or higher,"23,679",52.29,51,215.38,8,33.79,2,8.45,0,0,26,109.8,6,25.34,24,101.36,2,8.45
2016-2018,Nassau,Education,6,Unknown,58,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Nassau,Race/Ethnicity,1,"White, Non-Hispanic","21,650",47.81,48,221.71,10,46.19,7,32.33,2,9.24,21,97,6,27.71,21,97,2,9.24
2016-2018,Nassau,Race/Ethnicity,2,"Black, Non-Hispanic","4,159",9.18,14,336.62,3,72.13,1,24.04,0,0,8,192.35,3,72.13,5,120.22,0,0
2016-2018,Nassau,Race/Ethnicity,3,Hispanic,"11,743",25.93,47,400.24,10,85.16,19,161.8,6,51.09,11,93.67,2,17.03,17,144.77,2,17.03
2016-2018,Nassau,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",59,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Nassau,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","7,325",16.18,21,286.69,4,54.61,2,27.3,0,0,8,109.22,1,13.65,11,150.17,3,40.96
2016-2018,Nassau,Race/Ethnicity,6,"Other, Non-Hispanic",306,0.68,1,326.8,0,0,0,0,0,0,1,326.8,0,0,0,0,0,0
2016-2018,Nassau,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",40,0.09,2,5000,1,2500,0,0,0,0,2,5000,1,2500,0,0,0,0
2016-2018,Nassau,Total,1,Total,"45,282",100,133,293.71,28,61.83,29,64.04,8,17.67,51,112.63,13,28.71,54,119.25,7,15.46
2016-2018,New York,Age Group,1,<20,"1,450",3,14,965.52,8,551.72,6,413.79,4,275.86,4,275.86,1,68.97,4,275.86,3,206.9
2016-2018,New York,Age Group,2,20-35,"33,540",69.47,80,238.52,21,62.61,19,56.65,7,20.87,26,77.52,5,14.91,35,104.35,9,26.83
2016-2018,New York,Age Group,3,>35,"13,293",27.53,20,150.46,1,7.52,2,15.05,0,0,7,52.66,0,0,11,82.75,1,7.52
2016-2018,New York,Education,1,Less than high school,"4,464",9.25,15,336.02,6,134.41,7,156.81,4,89.61,4,89.61,1,22.4,4,89.61,1,22.4
2016-2018,New York,Education,2,High school graduate or GED,"5,013",10.38,25,498.7,6,119.69,4,79.79,2,39.9,8,159.59,1,19.95,13,259.33,3,59.84
2016-2018,New York,Education,3,Some College,"4,764",9.87,20,419.82,3,62.97,5,104.95,0,0,5,104.95,0,0,10,209.91,3,62.97
2016-2018,New York,Education,4,AA Degree,"1,936",4.01,10,516.53,2,103.31,2,103.31,0,0,3,154.96,1,51.65,5,258.26,1,51.65
2016-2018,New York,Education,5,BA degree or higher,"29,710",61.53,37,124.54,11,37.02,7,23.56,5,16.83,12,40.39,1,3.37,18,60.59,5,16.83
2016-2018,New York,Education,6,Unknown,95,0.2,1,1052.63,1,1052.63,0,0,0,0,1,1052.63,1,1052.63,0,0,0,0
2016-2018,New York,Race/Ethnicity,1,"White, Non-Hispanic","22,033",45.63,23,104.39,5,22.69,4,18.15,1,4.54,8,36.31,2,9.08,11,49.93,2,9.08
2016-2018,New York,Race/Ethnicity,2,"Black, Non-Hispanic","5,920",12.26,21,354.73,8,135.14,7,118.24,4,67.57,6,101.35,1,16.89,8,135.14,3,50.68
2016-2018,New York,Race/Ethnicity,3,Hispanic,"11,817",24.47,54,456.97,13,110.01,15,126.94,5,42.31,18,152.32,2,16.92,21,177.71,6,50.77
2016-2018,New York,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",47,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,New York,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","6,929",14.35,14,202.05,4,57.73,1,14.43,1,14.43,4,57.73,1,14.43,9,129.89,2,28.86
2016-2018,New York,Race/Ethnicity,6,"Other, Non-Hispanic",838,1.74,1,119.33,0,0,0,0,0,0,1,119.33,0,0,0,0,0,0
2016-2018,New York,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",699,1.45,1,143.06,0,0,0,0,0,0,0,0,0,0,1,143.06,0,0
2016-2018,New York,Total,1,Total,"48,283",100,114,236.11,30,62.13,27,55.92,11,22.78,37,76.63,6,12.43,50,103.56,13,26.92
2016-2018,Niagara,Age Group,1,<20,510,8.37,1,196.08,0,0,0,0,0,0,0,0,0,0,1,196.08,0,0
2016-2018,Niagara,Age Group,2,20-35,"4,929",80.91,17,344.9,3,60.86,4,81.15,0,0,3,60.86,1,20.29,10,202.88,2,40.58
2016-2018,Niagara,Age Group,3,>35,653,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Education,1,Less than high school,563,9.24,3,532.86,2,355.24,0,0,0,0,0,0,0,0,3,532.86,2,355.24
2016-2018,Niagara,Education,2,High school graduate or GED,"1,606",26.36,6,373.6,0,0,0,0,0,0,1,62.27,0,0,5,311.33,0,0
2016-2018,Niagara,Education,3,Some College,"1,305",21.42,4,306.51,1,76.63,2,153.26,0,0,1,76.63,1,76.63,1,76.63,0,0
2016-2018,Niagara,Education,4,AA Degree,766,12.57,1,130.55,0,0,1,130.55,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Education,5,BA degree or higher,"1,714",28.14,4,233.37,0,0,1,58.34,0,0,1,58.34,0,0,2,116.69,0,0
2016-2018,Niagara,Education,6,Unknown,24,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Race/Ethnicity,1,"White, Non-Hispanic","4,886",80.2,12,245.6,1,20.47,3,61.4,0,0,2,40.93,0,0,7,143.27,1,20.47
2016-2018,Niagara,Race/Ethnicity,2,"Black, Non-Hispanic",781,12.82,4,512.16,1,128.04,1,128.04,0,0,1,128.04,1,128.04,2,256.08,0,0
2016-2018,Niagara,Race/Ethnicity,3,Hispanic,209,3.43,2,956.94,1,478.47,0,0,0,0,0,0,0,0,2,956.94,1,478.47
2016-2018,Niagara,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",66,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",89,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Race/Ethnicity,6,"Other, Non-Hispanic",40,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",21,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Niagara,Total,1,Total,"6,092",100,18,295.47,3,49.24,4,65.66,0,0,3,49.24,1,16.41,11,180.56,2,32.83
2016-2018,Oneida,Age Group,1,<20,683,9.32,2,292.83,0,0,0,0,0,0,1,146.41,0,0,2,292.83,0,0
2016-2018,Oneida,Age Group,2,20-35,"5,895",80.4,18,305.34,1,16.96,3,50.89,0,0,5,84.82,0,0,10,169.64,1,16.96
2016-2018,Oneida,Age Group,3,>35,754,10.28,3,397.88,3,397.88,0,0,0,0,1,132.63,1,132.63,2,265.25,2,265.25
2016-2018,Oneida,Education,1,Less than high school,"1,186",16.18,8,674.54,2,168.63,0,0,0,0,4,337.27,1,84.32,5,421.59,1,84.32
2016-2018,Oneida,Education,2,High school graduate or GED,"1,749",23.85,4,228.7,1,57.18,0,0,0,0,0,0,0,0,4,228.7,1,57.18
2016-2018,Oneida,Education,3,Some College,"1,450",19.78,5,344.83,0,0,0,0,0,0,1,68.97,0,0,4,275.86,0,0
2016-2018,Oneida,Education,4,AA Degree,816,11.13,2,245.1,1,122.55,1,122.55,0,0,0,0,0,0,1,122.55,1,122.55
2016-2018,Oneida,Education,5,BA degree or higher,"1,890",25.78,3,158.73,0,0,2,105.82,0,0,1,52.91,0,0,0,0,0,0
2016-2018,Oneida,Education,6,Unknown,21,0.29,1,4761.9,0,0,0,0,0,0,1,4761.9,0,0,0,0,0,0
2016-2018,Oneida,Race/Ethnicity,1,"White, Non-Hispanic","5,568",75.94,13,233.48,3,53.88,2,35.92,0,0,3,53.88,1,17.96,8,143.68,2,35.92
2016-2018,Oneida,Race/Ethnicity,2,"Black, Non-Hispanic",778,10.61,3,385.6,0,0,1,128.53,0,0,0,0,0,0,2,257.07,0,0
2016-2018,Oneida,Race/Ethnicity,3,Hispanic,474,6.46,4,843.88,1,210.97,0,0,0,0,1,210.97,0,0,4,843.88,1,210.97
2016-2018,Oneida,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",16,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oneida,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",474,6.46,2,421.94,0,0,0,0,0,0,2,421.94,0,0,0,0,0,0
2016-2018,Oneida,Race/Ethnicity,6,"Other, Non-Hispanic",18,0.25,1,5555.56,0,0,0,0,0,0,1,5555.56,0,0,0,0,0,0
2016-2018,Oneida,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oneida,Total,1,Total,"7,332",100,23,313.69,4,54.56,3,40.92,0,0,7,95.47,1,13.64,14,190.94,3,40.92
2016-2018,Onondaga,Age Group,1,<20,"1,085",7.34,6,553,2,184.33,3,276.5,2,184.33,1,92.17,0,0,2,184.33,0,0
